competitionID,amount,teamNumber,submissionNumber,orgName,numKernels,NetIncome
3288,5000,223,1635,,0,
3289,900,0,0,,0,
3250,5000,0,0,,0,
3294,3000,355,1016,,0,
3084,20000,353,1459,,0,
3108,25000,243,1150,US Census Bureau,0,
3043,20000,161,733,Stack Overflow,0,
3065,7500,104,736,,0,
3066,7500,133,971,,0,
2975,40000,236,1609,,0,
3064,1000,25,152,,0,
3080,600,96,611,,0,
2917,10000,29,293,,0,
3023,10000,50,173,,0,
2863,10000,27,208,,0,
2888,10000,30,369,,0,
2984,10000,146,1414,,0,
2958,10000,86,582,,0,
2963,10000,133,695,,0,
2840,22500,363,1293,,0,
2860,1000,111,803,,0,
2895,500,89,501,,0,
2780,20000,699,2580,,1,
2748,8000,657,3601,,0,
2749,8000,163,3405,,0,
2667,100000,154,1692,,0,
2732,17500,264,1376,,0,
2889,7030,110,463,,0,
2762,1000,42,582,,0,
2602,10000,47,542,,0,
2606,5000,239,977,,0,
3321,10000,0,0,,0,
2589,10000,111,1095,,0,
2564,10000,570,2308,,0,
2551,5000,924,1489,,1,
2609,5000,200,687,,0,
2549,500,26,231,,0,
2509,10000,102,982,Allstate Insurance,0,3189000000
2518,10000,277,853,,0,
2499,10000,90,852,,0,
2487,3000,70,672,,0,
2489,500,259,1626,,0,
2479,10000,181,924,,0,
2488,1000,30,139,,0,
2478,950,176,798,,0,
2445,5000,204,1278,,0,
2467,10000,356,1047,,0,
2454,150,57,526,,0,
2464,950,117,861,,0,
2452,500,42,695,,0,
2447,617,252,1877,,0,
2448,500,55,455,,0,
2435,500,107,632,,0,
2438,100,0,0,,0,
2442,100,63,50,,0,
2408,1000,22,22,,0,
